primary_field,type,syntax,semantic
adesold,basic,"'-' ""ADESOLD"" (icaoaerodrome | ‘ZZZZ’)","The ""previous"" aerodrome of destination. May contain the  ICAO location indicator or ‘ZZZZ’ when no ICAO location  indicator has been assigned to the aerodrome of destination."
adexptxt,compound,"'-' ""ADEXPTXT""  (preproctxt | postproctxt)",Contains an ADEXP message.
af,basic,‘-‘ “AF” “ATN” | “FANS1A”,Type of logon parameters ATN or FANS/1A.
afildata,compound,"'-' ""AFILDATA"" ptid fl eto","Estimate data for an air-filed flight plan.  A point identification, the joining flight level and the estimate  date-time at the point.   NOTE: The flight level indicated is the level at which the  flight has been cleared to join controlled airspace over the  point indicated. It need not be the same as the RFL."
afregullist,compound,"'-' ""BEGIN"" ""AFREGULLIST"" { regul } '-' ""END""  ""AFREGULLIST""",List of ATFCM regulations that affect a flight.
ahead,basic,"'-' ""AHEAD"" (heading | ""ZZZ"" | [""PH"" | ""AW""])","The heading assigned to a flight, expressed in degrees  Must be a three digit numeric or the value ‘ZZZ’ indicating  that no heading is assigned. Optionally, this field may  contain the value ‘PH’ indicating holding the present heading  or the value ‘AW’ indicating that the aircraft is cleared to  avoid weather, but no heading is assigned."
airtemp,basic,‘-‘ “AIRTEMP” airtemperature,The temperature of the air.
altnz,compound,"'-' ""ALTNZ"" (adname  [ geoid | refid ] ) | ptid","Name of destination alternate aerodrome if no ICAO location  indicator exists. Optionally, the location of the aerodrome if it  is not listed in the national AIP given by bearing and  distance or Lat. Long. Alternatively, if the aircraft did not  depart from an aerodrome, the first point of the route given  by Waypoint/Nav Aid or Lat. Long."
altrnt1,basic,"'-' ""ALTRNT1"" (icaoaerodrome | ‘ZZZZ’)",The ICAO location indicator of the first destination alternate  aerodrome or the indicator ‘ZZZZ’ when no ICAO location  indicator has been assigned to the aerodrome.
altrnt2,basic,"'-' ""ALTRNT2"" (icaoaerodrome | ‘ZZZZ’)",The ICAO location indicator of the second destination  alternate aerodrome or the indicator ‘ZZZZ’ when no ICAO  location indicator has been assigned to the aerodrome.
amantime,basic,‘-‘ “AMANTIME” timehhmmss,The time at which a flight should be overhead the  appropriate Coordination Point (COP) as calculated by the  arrival manager.
aoarcid,basic,"'-' ""AOARCID"" 3{ALPHA}3","The ICAO three-letter designator of the aircraft operator as  indicated in the aircraft identification, ARCID or ICAO Field  7a."
aobd,basic,"'-' ""AOBD"" date",Actual Off_Block Date.
aobt,basic,"'-' ""AOBT"" timehhmm",Actual Off_Block Time.
aoopr,basic,"'-' ""AOOPR"" 3{ALPHA}3",The ICAO three-letter designator of the aircraft operator as  derived from the OPR/ element of ICAO Field 18.
applipt,basic,"'-' ""APPLIPT"" point","An identifier for a point at which an ATC constraint applies,  either a coded designator of a point or a name given  artificially (GEOxx, RENxx or REFxx)."
apptot,basic,‘-‘ “APPTOT” timehhmm,The approved take off time is the time at which the flight  should take off at the aerodrome as approved by the next  ATC unit.
apptyp,basic,"'-' ""APPTYP"" 2{ALPHANUM}7","Approach type of the flight, free text field between 2 and 7  characters."
arcaddr,basic,"'-' ""ARCADDR"" ( 6{hexadecimal}6 | 'NIL' )","The ICAO 24-bit aircraft address as used for Mode S,  Datalink. The 'NIL' indication is used to suppress a  previously provided aircraft address."
arcid,basic,"'-' ""ARCID"" aircraftid","Aircraft Identification.  May be the registration marking of the aircraft, or the ICAO  designator of the aircraft operator followed by the flight  identifier."
arcidk,basic,"'-' ""ARCIDK"" (aircraftid | aircraftidwldcrd)",Aircraft Identification used as database key in a query; may  be wild-carded.  Must be a combination of alphanumeric and wild-card  characters up to maximum 7 characters in total.
arcidold,basic,'-' ARCIDOLD aircraftid,"The ""previous"" aircraft id. Where the aircraft id. Is to be  amended, the new value will be given in ""ARCID""."
arctyp,basic,"'-' ""ARCTYP"" (icaoaircrafttype | ""ZZZZ"")",Type of aircraft (ICAO identification of the type) or ZZZZ.
areasts,basic,‘-‘ “AREASTS” (“ACTIVE” | “INACTIVE”) !1  {LIM_CHAR},The status of an airspace expressed as free text indicating if  the area is active or inactive and the type of activity.
arrproc,basic,‘-‘ “ARRPROC” sidstarid | “DCT” | point,An indication of the procedure an arriving aircraft is expected  to fly from the last en-route point.  May be:  - the identifier of a Standard Arrival Route procedure;  - an indication that the aircraft will fly direct to the initial  approach fix;  - an indication that no procedure is specified for the aircraft  to reach the defined point.
arrseqnumber,basic,"'-' ""ARRSEQNUMBER"" 2{ DIGIT }2",An arrival sequence number.
aspeed,basic,"'-' ""ASPEED"" (spd | machnumber | ""ZZZ"")","The currently assigned speed of the flight, in kilometres per  hour, knots or Mach number.  Must be 'M' followed by three digits, 'K' or 'N' followed by  four digits or 'ZZZ' indicating that a previously assigned  speed no longer applies."
asplist,compound,"'-' ""BEGIN"" ""ASPLIST"" { asp } '-' ""END""  ""ASPLIST""",List of airspaces crossed by a flight.
ata,basic,"'-' ""ATA"" timehhmm",Actual time of arrival.
atd,basic,"'-' ""ATD"" timehhmm",Actual time of departure.
atfmdelay,basic,"'-' ""ATFMDELAY” timehhmm",The ATFM delay allocated to a flight.
atnlogon,compound,‘-‘ “ATNLOGON” cmltsp adsqvltsp cpcqvltsp  atiqv,Logon parameters for ATN aircraft.
atnlogonb2,compound,‘-‘ “ATNLOGONB2” adsqvltsp cpcqvltsp,Logon parameters for ATNB2 equipped aircraft.
atot,basic,"'-' ""ATOT"" timehhmm",Actual Time of Take-off
attot,basic,"'-' ""ATTOT” timehhmm",The Aircraft operator Target Take-Off Time (ATTOT) of the  flight.
atsrt,basic,"'-' ""ATSRT"" atsroute point point",ATS route designator and identifiers of first and last points.
awr,basic,"'-' ""AWR"" “R” ! 1{ ""1"" | ""2"" | ""3"" | ""4"" | ""5"" | ""6"" | ""7""  | ""8"" | ""9"" }1",A reference included in the FPL when the flight has been re- routed using the 'AO What-If-Reroute' mechanism.
cassaddr,compound,"'-' ""BEGIN"" ""CASSADDR"" { fac } '-' ""END""  ""CASSADDR""",Addresses to which ATFM messages should be addressed.
cda,basic,"'-' ""CDA"" date",Calculated Date of Arrival
cdmstatus,basic,‘-‘ “CDMSTATUS” cdmstatusvalue,Departure planning status information
cta,basic,"'-' ""CTA"" timehhmm",Calculated Time of Arrival
ceqpt,basic,"'-' ""CEQPT"" aidequipment","Radio communication, navigation and approach equipment  and capabilities (as ICAO field 10a)."
cfl,compound,"'-' ""CFL"" fl [ptid] [sfl]",Cleared Flight Level. The level currently assigned by ATC to  the flight. It may optionally include a point and a level  restriction at the point.
chgrul,basic,"'-' ""CHGRUL"" ( rulechg | flighttypechg | rulechg  flighttypechg ) point","Indication of a change in either the ""flight rules""(VFR/IFR) or  the ""type of flight""(OAT/GAT) or both together with the point  at which the change occurs."
cobd,basic,"'-' ""COBD"" date",Calculated Off-Block Date.
cobt,basic,"'-' ""COBT"" timehhmm",Calculated Off-Block Time.
com,basic,"'-' ""COM"" 1 {LIM_CHAR} 50",As ICAO Field 18 COM/. It indicates communications  applications or capabilities.
comment,basic,"'-' ""COMMENT"" 1 { LIM_CHAR }",A general comment in free text without hyphen.
condid,basic,"'-' ""CONDID"" 1 {LIM_CHAR} 30",Identification of an ‘exceptional condition’ raised in the  context of ATFM.
coordata,compound,"'-' ""COORDATA"" (ptid | gid ) to tfl [sfl]","The transfer conditions of a flight. A point id or gate id, the  flight level and estimated time at that point and optional  supplementary flight level information."
cop,basic,"'-' ""COP"" point","A co-ordination point identifier, either a coded designator of  a point or a name given artificially (GEOxx, RENxx or  REFxx)."
crsclimb,compound,"'-' ""CRSCLIMB"" ptid (crspeed | crmach) crfl1  crfl2","Indication of a cruiseclimb. Giving the point at which the  climb will begin, speed or mach no. and the two levels  indicating the flight level band to be occupied during the  climb. The second level may be ""PLUS"" where the upper  level is unknown."
cstat,compound,"'-' ""CSTAT"" statid statreason",An indicator confirming the new co-ordination status of a  flight and the reason for the change.
ctod,basic,"'-' ""CTOD""  date",Calculated Take-Off Date.
